doc_id,sentence_id,sentence,frame_index,frame_name,target_text,target_start,target_end,element_name,element_filler,filler_start,filler_end
pilot_climate,p021,Mining companies restore damaged land.,0,Restoring,restore,,,Asset,damaged land,,
pilot_climate,p022,Shipping firms order cleaner vessels.,0,Commerce_buy,order,,,Buyer,Shipping firms,,
pilot_climate,p022,Shipping firms order cleaner vessels.,0,Commerce_buy,order,,,Goods,cleaner vessels,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,0,Designing,redesign,,,Designer,Manufacturers,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,0,Designing,redesign,,,Product,products,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,0,Designing,redesign,,,Goal,use less energy,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,1,Using,use,,,User,products,,
pilot_climate,p023,Manufacturers redesign products to use less energy.,1,Using,use,,,Instrument,less energy,,
pilot_climate,p024,Energy companies balance profits and transition spending.,0,Balancing,balance,,,Agent,Energy companies,,
pilot_climate,p024,Energy companies balance profits and transition spending.,0,Balancing,balance,,,Item_1,profits,,
pilot_climate,p024,Energy companies balance profits and transition spending.,0,Balancing,balance,,,Item_2,transition spending,,
